<<<<<<< HEAD
state,state_usps,EV_Count,station_count,median_income,population,EV_per_1000_pop,Stations_per_100k_pop,EV_per_station,Income_Index,DC_share,EV_Growth,Income_Q,EV_Level,Station_Level,High_Adopter,STATE,log_EV_Count,log_station_count,log_median_income
Unknown,ID,0,38,81166.0,1849415.0,0.0,2.0547037847103002,0.0,0.9828676883730842,,,Q3,Low,Low,0,ID,0.0,3.6635616461296463,11.30426403960442
Unknown,IL,944,132,83211.0,12799088.0,0.07375525506192317,1.031323481798078,7.151515151515151,1.0076313138162865,,,Q3,High,High,0,IL,6.851184927493743,4.890349128221754,11.329146847178274
Unknown,KS,14,26,75514.0,2938172.0,0.00476486740735396,0.8849039470800212,0.5384615384615384,0.9144256292019453,,,Q2,Low,Low,0,KS,2.70805020110221,3.295836866004329,11.232086591000442
Unknown,KY,33,44,64526.0,4508318.0,0.007319803083988308,0.9759737445317743,0.75,0.7813680661848759,,,Q1 (Low),Low,Low,0,KY,3.5263605246161616,3.8066624897703196,11.074839019844543
Unknown,LA,72,59,60986.0,4652301.0,0.015476212738599674,1.2681896549685843,1.2203389830508475,0.7385009590607018,,,Q1 (Low),Low,Medium,0,LA,4.290459441148391,4.0943445622221,11.018416005689174
Unknown,MA,53,130,104828.0,6994598.0,0.007577276063613663,1.858577147678823,0.4076923076923077,1.269399182376533,,,Q4 (High),Low,High,0,MA,3.9889840465642745,4.875197323201151,11.560085730147089
Unknown,MD,1816,88,102905.0,6177935.0,0.2939493536270614,1.4244241805716635,20.636363636363637,1.2461128979133165,,,Q4 (High),High,Medium,1,MD,7.504942068396171,4.48863636973214,11.541571229160136
Unknown,ME,33,77,76442.0,1364571.0,0.02418342468072383,5.642799092168894,0.42857142857142855,0.9256631081316722,,,Q2,Low,Medium,0,ME,3.5263605246161616,4.356708826689592,11.244300644051904
Unknown,MN,220,91,87117.0,5710735.0,0.038523937811857846,1.593490154945029,2.4175824175824174,1.0549304438804177,,,Q3,Medium,Medium,0,MN,5.3981627015177525,4.5217885770490405,11.375018800502191
Unknown,MO,629,59,71589.0,6154744.0,0.10219758937171067,0.9586101387807519,10.661016949152541,0.8668964214442098,,,Q1 (Low),High,Medium,0,MO,6.4457198193855785,4.0943445622221,11.17871067839023
Unknown,MS,0,39,59127.0,2958536.0,0.0,1.3182195518323927,0.0,0.7159896731443628,,,Q1 (Low),Low,Low,0,MS,0.0,3.6888794541139363,10.987459864464723
Unknown,NC,126,132,73958.0,10449652.0,0.012057817810583548,1.2631999611087525,0.9545454545454546,0.8955834770309805,,,Q1 (Low),Medium,High,0,NC,4.844187086458591,4.890349128221754,11.211266164587588
Unknown,ND,22,21,77871.0,779563.0,0.028220939167200084,2.6938169205054625,1.0476190476190477,0.9429673725611765,,,Q2,Low,Low,0,ND,3.1354942159291497,3.091042453358316,11.262821732073235
Unknown,NE,609,23,76376.0,1963387.0,0.31017827865825737,1.1714450589720722,26.47826086956522,0.9248638908802046,,,Q2,High,Low,1,NE,6.413458957167357,3.1780538303479458,11.243436882710412
Unknown,NH,346,62,99782.0,1378756.0,0.2509508571494884,4.496807266840543,5.580645161290323,1.2082953906961424,,,Q4 (High),Medium,Medium,1,NH,5.849324779946859,4.143134726391533,11.51075310710857
Unknown,NJ,79,102,104294.0,9272794.0,0.008519546535812182,1.099992084370687,0.7745098039215687,1.262932788251022,,,Q4 (High),Medium,Medium,0,NJ,4.382026634673881,4.634728988229636,11.554978701201227
Unknown,NM,238,23,67816.0,2118606.0,0.11233801848951622,1.0856195064112912,10.347826086956522,0.8212078352353089,,,Q1 (Low),Medium,Low,1,NM,5.476463551931511,3.1780538303479458,11.12456817996223
Unknown,NV,606,52,81134.0,3116967.0,0.19441976767800237,1.6682884355208123,11.653846153846153,0.9824801890996454,,,Q3,High,Medium,1,NV,6.408528791059498,3.970291913552122,11.303869712973636
Unknown,NY,326,172,85820.0,20105171.0,0.01621473401046925,0.8555013036198498,1.8953488372093024,1.0392246139538488,,,Q3,Medium,High,0,NY,5.7899601708972535,5.153291594497779,11.360019010773131
Unknown,OH,0,132,72212.0,11798905.0,0.0,1.118747883807862,0.0,0.8744405479239726,,,Q1 (Low),Low,High,0,OH,0.0,4.890349128221754,11.187375364074551
Unknown,OK,72,58,66148.0,3965415.0,0.01815698987369544,1.4626464064921325,1.2413793103448276,0.8010094356073082,,,Q1 (Low),Low,Medium,0,OK,4.290459441148391,4.07753744390572,11.099665052270861
Unknown,OR,469,115,85220.0,4243779.0,0.11051470870655612,2.7098489341692864,4.078260869565217,1.0319590025768701,,,Q3,High,High,0,OR,6.152732694704104,4.7535901911063645,11.35300316131972
Unknown,PA,351,128,77545.0,12996143.0,0.027008013069723842,0.9849075991238323,2.7421875,0.939019723713018,,,Q2,Medium,High,0,PA,5.863631175598097,4.859812404361672,11.258626587648363
Unknown,RI,84,35,83504.0,1096530.0,0.07660529123690187,3.191887134870911,2.4,1.011179354038711,,,Q3,Medium,Low,0,RI,4.442651256490317,3.58351893845611,11.332661789285718
Unknown,SC,25,81,72350.0,5132249.0,0.00487115882335405,1.5782554587667124,0.30864197530864196,0.8761116385406778,,,Q1 (Low),Low,Medium,0,SC,3.258096538021482,4.406719247264253,11.18928455366418
Unknown,SD,0,20,76881.0,887948.0,0.0,2.2523841486213154,0.0,0.9309791137891616,,,Q2,Low,Low,0,SD,0.0,3.044522437723423,11.25002705787396
Unknown,TN,308,87,71997.0,6927904.0,0.044457890871467044,1.2557910733174134,3.5402298850574714,0.8718370371805553,,,Q1 (Low),Medium,Medium,0,TN,5.733341276897746,4.477336814478207,11.184393619834605
Unknown,TX,1057,164,79721.0,29239570.0,0.03614964241950207,0.5608837612865032,6.445121951219512,0.9653696743068606,,,Q2,High,High,0,TX,6.964135612418245,5.10594547390058,11.286300861819363
Unknown,UT,247,65,96658.0,3284077.0,0.07521139120672263,1.9792471370190163,3.8,1.1704657741266735,,,Q4 (High),Medium,Medium,0,UT,5.5134287461649825,4.189654742026425,11.478944599804487
Unknown,VA,2191,137,92090.0,8637615.0,0.253657983135391,1.586085973963878,15.992700729927007,1.115150252843276,,,Q3,High,High,1,VA,7.692569648067906,4.927253685157205,11.430532497598794
Unknown,WA,21616,129,99389.0,7727209.0,2.797387776103895,1.6694255325564507,167.56589147286823,1.2035364152442214,,,Q4 (High),High,High,1,WA,9.981235321158053,4.867534450455582,11.506806783962052
Unknown,WI,0,67,77488.0,5897375.0,0.0,1.1360986879755823,0.0,0.938329490632205,,,Q2,Low,Medium,0,WI,0.0,4.219507705176107,11.257891269783773
Unknown,WY,322,21,75532.0,577681.0,0.5574010569847373,3.635224284683069,15.333333333333334,0.9146435975432545,,,Q2,Medium,Low,1,WY,5.777652323222656,3.091042453358316,11.232324925835531
=======
state,state_usps,EV_Count,station_count,median_income,population,EV_per_1000_pop,Stations_per_100k_pop,EV_per_station,Income_Index,DC_share,EV_Growth,Income_Q,EV_Level,Station_Level,High_Adopter,STATE,log_EV_Count,log_station_count,log_median_income
Unknown,AK,19,25,95665.0,733017.0,0.02592027197186423,3.4105621015610823,0.76,1.1584411872977738,,,Q3,Low,Low,0,AK,2.995732273553991,3.258096538021482,11.468618237408252
Unknown,AL,42,49,66659.0,5033094.0,0.008344767651865832,0.9735562260510137,0.8571428571428571,0.8071973146300351,,,Q1 (Low),Low,Low,0,AL,3.7612001156935624,3.912023005428146,11.10736035186173
Unknown,AR,486,49,62106.0,3014546.0,0.16121830617280347,1.625452058120858,9.918367346938776,0.7520634336310619,,,Q1 (Low),High,Low,1,AR,6.18826412308259,3.912023005428146,11.036613982986058
Unknown,AZ,349,92,81486.0,7187135.0,0.04855898769120101,1.280065005040256,3.7934782608695654,0.9867426811074729,,,Q3,Medium,Medium,0,AZ,5.857933154483459,4.532599493153256,11.308198777303554
Unknown,CA,3259,592,100149.0,39521958.0,0.08246048943222904,1.497901495669825,5.5050675675675675,1.2127395229883944,,,Q4 (High),High,High,0,CA,8.089482474360754,6.385194398997726,11.514424341093964
Unknown,CO,914,132,97113.0,5787129.0,0.15793669019646875,2.2809237533844504,6.924242424242424,1.1759755294208822,,,Q4 (High),High,High,1,CO,6.818924065275521,4.890349128221754,11.483640825142734
Unknown,CT,170,114,96049.0,3579918.0,0.04748712121339092,3.1844304813685675,1.4912280701754386,1.16309117857904,,,Q4 (High),Medium,High,0,CT,5.14166355650266,4.74493212836325,11.472624168196702
Unknown,DC,797,39,109707.0,,,,20.435897435897434,1.3284807122236646,,,Q4 (High),High,Low,0,DC,6.682108597449809,3.6888794541139363,11.605577569766599
Unknown,DE,0,34,87534.0,991928.0,0.0,3.427668137203507,0.0,1.0599800437874178,,,Q3,Low,Low,0,DE,0.0,3.5553480614894135,11.379793992367032
Unknown,FL,491,165,77735.0,21592035.0,0.0227398668073667,0.7641706768259684,2.9757575757575756,0.9413205006490613,,,Q2,High,High,0,FL,6.198478716492308,5.111987788356544,11.261073749519275
Unknown,GA,465,106,79991.0,10732888.0,0.043324778941138675,0.9876186167227311,4.386792452830188,0.968639199426501,,,Q2,Medium,High,0,GA,6.144185634125646,4.672828834461906,11.289681908655686
Unknown,HI,532,74,100745.0,1451252.0,0.36658002883027896,5.099045513804632,7.1891891891891895,1.2199566969561932,,,Q4 (High),High,Medium,1,HI,6.278521424165844,4.31748811353631,11.520357776787524
Unknown,ID,0,38,81166.0,1849415.0,0.0,2.0547037847103002,0.0,0.9828676883730842,,,Q3,Low,Low,0,ID,0.0,3.6635616461296463,11.30426403960442
Unknown,IL,944,132,83211.0,12799088.0,0.07375525506192317,1.031323481798078,7.151515151515151,1.0076313138162865,,,Q3,High,High,0,IL,6.851184927493743,4.890349128221754,11.329146847178274
Unknown,KS,14,26,75514.0,2938172.0,0.00476486740735396,0.8849039470800212,0.5384615384615384,0.9144256292019453,,,Q2,Low,Low,0,KS,2.70805020110221,3.295836866004329,11.232086591000442
Unknown,KY,33,44,64526.0,4508318.0,0.007319803083988308,0.9759737445317743,0.75,0.7813680661848759,,,Q1 (Low),Low,Low,0,KY,3.5263605246161616,3.8066624897703196,11.074839019844543
Unknown,LA,72,59,60986.0,4652301.0,0.015476212738599674,1.2681896549685843,1.2203389830508475,0.7385009590607018,,,Q1 (Low),Low,Medium,0,LA,4.290459441148391,4.0943445622221,11.018416005689174
Unknown,MA,53,130,104828.0,6994598.0,0.007577276063613663,1.858577147678823,0.4076923076923077,1.269399182376533,,,Q4 (High),Low,High,0,MA,3.9889840465642745,4.875197323201151,11.560085730147089
Unknown,MD,1816,88,102905.0,6177935.0,0.2939493536270614,1.4244241805716635,20.636363636363637,1.2461128979133165,,,Q4 (High),High,Medium,1,MD,7.504942068396171,4.48863636973214,11.541571229160136
Unknown,ME,33,77,76442.0,1364571.0,0.02418342468072383,5.642799092168894,0.42857142857142855,0.9256631081316722,,,Q2,Low,Medium,0,ME,3.5263605246161616,4.356708826689592,11.244300644051904
Unknown,MN,220,91,87117.0,5710735.0,0.038523937811857846,1.593490154945029,2.4175824175824174,1.0549304438804177,,,Q3,Medium,Medium,0,MN,5.3981627015177525,4.5217885770490405,11.375018800502191
Unknown,MO,629,59,71589.0,6154744.0,0.10219758937171067,0.9586101387807519,10.661016949152541,0.8668964214442098,,,Q1 (Low),High,Medium,0,MO,6.4457198193855785,4.0943445622221,11.17871067839023
Unknown,MS,0,39,59127.0,2958536.0,0.0,1.3182195518323927,0.0,0.7159896731443628,,,Q1 (Low),Low,Low,0,MS,0.0,3.6888794541139363,10.987459864464723
Unknown,NC,126,132,73958.0,10449652.0,0.012057817810583548,1.2631999611087525,0.9545454545454546,0.8955834770309805,,,Q1 (Low),Medium,High,0,NC,4.844187086458591,4.890349128221754,11.211266164587588
Unknown,ND,22,21,77871.0,779563.0,0.028220939167200084,2.6938169205054625,1.0476190476190477,0.9429673725611765,,,Q2,Low,Low,0,ND,3.1354942159291497,3.091042453358316,11.262821732073235
Unknown,NE,609,23,76376.0,1963387.0,0.31017827865825737,1.1714450589720722,26.47826086956522,0.9248638908802046,,,Q2,High,Low,1,NE,6.413458957167357,3.1780538303479458,11.243436882710412
Unknown,NH,346,62,99782.0,1378756.0,0.2509508571494884,4.496807266840543,5.580645161290323,1.2082953906961424,,,Q4 (High),Medium,Medium,1,NH,5.849324779946859,4.143134726391533,11.51075310710857
Unknown,NJ,79,102,104294.0,9272794.0,0.008519546535812182,1.099992084370687,0.7745098039215687,1.262932788251022,,,Q4 (High),Medium,Medium,0,NJ,4.382026634673881,4.634728988229636,11.554978701201227
Unknown,NM,238,23,67816.0,2118606.0,0.11233801848951622,1.0856195064112912,10.347826086956522,0.8212078352353089,,,Q1 (Low),Medium,Low,1,NM,5.476463551931511,3.1780538303479458,11.12456817996223
Unknown,NV,606,52,81134.0,3116967.0,0.19441976767800237,1.6682884355208123,11.653846153846153,0.9824801890996454,,,Q3,High,Medium,1,NV,6.408528791059498,3.970291913552122,11.303869712973636
Unknown,NY,326,172,85820.0,20105171.0,0.01621473401046925,0.8555013036198498,1.8953488372093024,1.0392246139538488,,,Q3,Medium,High,0,NY,5.7899601708972535,5.153291594497779,11.360019010773131
Unknown,OH,0,132,72212.0,11798905.0,0.0,1.118747883807862,0.0,0.8744405479239726,,,Q1 (Low),Low,High,0,OH,0.0,4.890349128221754,11.187375364074551
Unknown,OK,72,58,66148.0,3965415.0,0.01815698987369544,1.4626464064921325,1.2413793103448276,0.8010094356073082,,,Q1 (Low),Low,Medium,0,OK,4.290459441148391,4.07753744390572,11.099665052270861
Unknown,OR,469,115,85220.0,4243779.0,0.11051470870655612,2.7098489341692864,4.078260869565217,1.0319590025768701,,,Q3,High,High,0,OR,6.152732694704104,4.7535901911063645,11.35300316131972
Unknown,PA,351,128,77545.0,12996143.0,0.027008013069723842,0.9849075991238323,2.7421875,0.939019723713018,,,Q2,Medium,High,0,PA,5.863631175598097,4.859812404361672,11.258626587648363
Unknown,RI,84,35,83504.0,1096530.0,0.07660529123690187,3.191887134870911,2.4,1.011179354038711,,,Q3,Medium,Low,0,RI,4.442651256490317,3.58351893845611,11.332661789285718
Unknown,SC,25,81,72350.0,5132249.0,0.00487115882335405,1.5782554587667124,0.30864197530864196,0.8761116385406778,,,Q1 (Low),Low,Medium,0,SC,3.258096538021482,4.406719247264253,11.18928455366418
Unknown,SD,0,20,76881.0,887948.0,0.0,2.2523841486213154,0.0,0.9309791137891616,,,Q2,Low,Low,0,SD,0.0,3.044522437723423,11.25002705787396
Unknown,TN,308,87,71997.0,6927904.0,0.044457890871467044,1.2557910733174134,3.5402298850574714,0.8718370371805553,,,Q1 (Low),Medium,Medium,0,TN,5.733341276897746,4.477336814478207,11.184393619834605
Unknown,TX,1057,164,79721.0,29239570.0,0.03614964241950207,0.5608837612865032,6.445121951219512,0.9653696743068606,,,Q2,High,High,0,TX,6.964135612418245,5.10594547390058,11.286300861819363
Unknown,UT,247,65,96658.0,3284077.0,0.07521139120672263,1.9792471370190163,3.8,1.1704657741266735,,,Q4 (High),Medium,Medium,0,UT,5.5134287461649825,4.189654742026425,11.478944599804487
Unknown,VA,2191,137,92090.0,8637615.0,0.253657983135391,1.586085973963878,15.992700729927007,1.115150252843276,,,Q3,High,High,1,VA,7.692569648067906,4.927253685157205,11.430532497598794
Unknown,WA,21616,129,99389.0,7727209.0,2.797387776103895,1.6694255325564507,167.56589147286823,1.2035364152442214,,,Q4 (High),High,High,1,WA,9.981235321158053,4.867534450455582,11.506806783962052
Unknown,WI,0,67,77488.0,5897375.0,0.0,1.1360986879755823,0.0,0.938329490632205,,,Q2,Low,Medium,0,WI,0.0,4.219507705176107,11.257891269783773
Unknown,WY,322,21,75532.0,577681.0,0.5574010569847373,3.635224284683069,15.333333333333334,0.9146435975432545,,,Q2,Medium,Low,1,WY,5.777652323222656,3.091042453358316,11.232324925835531
>>>>>>> 5eeee65df7e3b80b2ae52fe7bb8e52fe0e6c57af
